Price,Suburb,Distance,Regionname,Postcode,Landsize,BuildingArea,Rooms,Bathroom,Car,YearBuilt,Type,zipcode,airbnb_price_mean,airbnb_record_count,review_scores_value_mean,review_scores_location_mean
1480000.0,Abbotsford,2.5,Northern Metropolitan,3067.0,202.0,,2,1.0,1.0,,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
1035000.0,Abbotsford,2.5,Northern Metropolitan,3067.0,156.0,79.0,2,1.0,0.0,1900.0,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
1465000.0,Abbotsford,2.5,Northern Metropolitan,3067.0,134.0,150.0,3,2.0,0.0,1900.0,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
850000.0,Abbotsford,2.5,Northern Metropolitan,3067.0,94.0,,3,2.0,1.0,,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
1600000.0,Abbotsford,2.5,Northern Metropolitan,3067.0,120.0,142.0,4,1.0,2.0,2014.0,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
941000.0,Abbotsford,2.5,Northern Metropolitan,3067.0,181.0,,2,1.0,0.0,,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
1876000.0,Abbotsford,2.5,Northern Metropolitan,3067.0,245.0,210.0,3,2.0,0.0,1910.0,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
1636000.0,Abbotsford,2.5,Northern Metropolitan,3067.0,256.0,107.0,2,1.0,2.0,1890.0,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
1097000.0,Abbotsford,2.5,Northern Metropolitan,3067.0,220.0,75.0,2,1.0,2.0,1900.0,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
1350000.0,Abbotsford,2.5,Northern Metropolitan,3067.0,214.0,190.0,3,2.0,2.0,2005.0,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
1172500.0,Abbotsford,2.5,Northern Metropolitan,3067.0,195.0,,2,1.0,1.0,,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
1310000.0,Abbotsford,2.5,Northern Metropolitan,3067.0,238.0,97.0,2,1.0,2.0,1890.0,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
1200000.0,Abbotsford,2.5,Northern Metropolitan,3067.0,113.0,110.0,3,2.0,1.0,1880.0,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
1176500.0,Abbotsford,2.5,Northern Metropolitan,3067.0,138.0,105.0,3,1.0,1.0,1890.0,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
955000.0,Abbotsford,2.5,Northern Metropolitan,3067.0,183.0,,3,1.0,0.0,,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
890000.0,Abbotsford,2.5,Northern Metropolitan,3067.0,150.0,73.0,2,1.0,1.0,1985.0,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
1330000.0,Abbotsford,2.5,Northern Metropolitan,3067.0,780.0,135.0,4,2.0,2.0,1900.0,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
1100000.0,Abbotsford,2.5,Northern Metropolitan,3067.0,124.0,135.0,2,2.0,1.0,2013.0,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
1315000.0,Abbotsford,2.5,Northern Metropolitan,3067.0,147.0,85.0,2,1.0,0.0,1900.0,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
1447500.0,Abbotsford,2.5,Northern Metropolitan,3067.0,166.0,174.0,3,3.0,1.0,2012.0,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
1135000.0,Abbotsford,2.5,Northern Metropolitan,3067.0,98.0,128.0,2,2.0,2.0,1920.0,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
1290000.0,Abbotsford,2.5,Northern Metropolitan,3067.0,147.0,18.0,3,2.0,2.0,,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
1290000.0,Abbotsford,2.5,Northern Metropolitan,3067.0,168.0,124.0,3,1.0,1.0,1950.0,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
1180000.0,Abbotsford,2.5,Northern Metropolitan,3067.0,162.0,91.0,2,1.0,0.0,1900.0,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
1195000.0,Abbotsford,2.5,Northern Metropolitan,3067.0,120.0,128.0,3,2.0,1.0,1998.0,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
1012500.0,Abbotsford,2.5,Northern Metropolitan,3067.0,182.0,82.0,2,1.0,0.0,1900.0,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
1030000.0,Abbotsford,2.5,Northern Metropolitan,3067.0,172.0,81.0,2,1.0,1.0,1930.0,h,3067.0,130.62403100775194,258.0,9.572115384615385,9.697115384615385
840000.0,Airport West,13.5,Western Metropolitan,3042.0,303.0,225.0,3,2.0,1.0,2016.0,t,3042.0,81.57142857142857,35.0,9.444444444444445,9.555555555555555
603000.0,Airport West,13.5,Western Metropolitan,3042.0,272.0,84.0,2,1.0,1.0,1950.0,h,3042.0,81.57142857142857,35.0,9.444444444444445,9.555555555555555
700000.0,Airport West,13.5,Western Metropolitan,3042.0,239.0,134.0,3,2.0,2.0,2009.0,t,3042.0,81.57142857142857,35.0,9.444444444444445,9.555555555555555
600000.0,Airport West,13.5,Western Metropolitan,3042.0,290.0,116.0,3,1.0,1.0,1980.0,h,3042.0,81.57142857142857,35.0,9.444444444444445,9.555555555555555
500000.0,Airport West,13.5,Western Metropolitan,3042.0,168.0,86.0,2,1.0,1.0,2011.0,u,3042.0,81.57142857142857,35.0,9.444444444444445,9.555555555555555
720000.0,Airport West,13.5,Western Metropolitan,3042.0,620.0,,3,1.0,1.0,,h,3042.0,81.57142857142857,35.0,9.444444444444445,9.555555555555555
785000.0,Airport West,13.5,Western Metropolitan,3042.0,597.0,127.0,4,1.0,2.0,,h,3042.0,81.57142857142857,35.0,9.444444444444445,9.555555555555555
725000.0,Airport West,13.5,Western Metropolitan,3042.0,976.0,186.0,6,3.0,2.0,1980.0,h,3042.0,81.57142857142857,35.0,9.444444444444445,9.555555555555555
450000.0,Airport West,13.5,Western Metropolitan,3042.0,110.0,90.0,2,1.0,1.0,2015.0,t,3042.0,81.57142857142857,35.0,9.444444444444445,9.555555555555555
515000.0,Airport West,13.5,Western Metropolitan,3042.0,141.0,73.0,2,1.0,1.0,2013.0,u,3042.0,81.57142857142857,35.0,9.444444444444445,9.555555555555555
530000.0,Airport West,13.5,Western Metropolitan,3042.0,120.0,94.0,2,1.0,1.0,2012.0,u,3042.0,81.57142857142857,35.0,9.444444444444445,9.555555555555555
895000.0,Airport West,13.5,Western Metropolitan,3042.0,1063.0,133.0,3,1.0,6.0,1975.0,h,3042.0,81.57142857142857,35.0,9.444444444444445,9.555555555555555
752000.0,Airport West,13.5,Western Metropolitan,3042.0,265.0,130.0,3,1.0,1.0,1993.0,u,3042.0,81.57142857142857,35.0,9.444444444444445,9.555555555555555
440000.0,Airport West,13.5,Western Metropolitan,3042.0,192.0,,2,1.0,1.0,,u,3042.0,81.57142857142857,35.0,9.444444444444445,9.555555555555555
755000.0,Airport West,13.5,Western Metropolitan,3042.0,596.0,,5,2.0,2.0,,h,3042.0,81.57142857142857,35.0,9.444444444444445,9.555555555555555
700000.0,Airport West,13.5,Western Metropolitan,3042.0,165.0,133.0,3,2.0,2.0,2009.0,t,3042.0,81.57142857142857,35.0,9.444444444444445,9.555555555555555
830000.0,Airport West,13.5,Western Metropolitan,3042.0,971.0,113.0,3,1.0,2.0,1960.0,h,3042.0,81.57142857142857,35.0,9.444444444444445,9.555555555555555
462500.0,Airport West,13.5,Western Metropolitan,3042.0,164.0,,2,1.0,1.0,2003.0,u,3042.0,81.57142857142857,35.0,9.444444444444445,9.555555555555555
670000.0,Airport West,13.5,Western Metropolitan,3042.0,657.0,,3,2.0,2.0,,h,3042.0,81.57142857142857,35.0,9.444444444444445,9.555555555555555
